# Avastel long time infected IPs blocklist
# Last update: Thu Mar 07 2024 00:02:42 GMT+0000 (Coordinated Universal Time)
# Number IPs blocked: 12892

ip_address;num_days;autonomous_system
5.76.22.118;17;JSC Kazakhtelecom
5.91.202.101;41;Vodafone Italia S.p.A.
5.109.250.108;15;Etihad Etisalat, a joint stock company
5.110.229.185;22;Etihad Etisalat, a joint stock company
5.128.168.4;42;Novotelecom Ltd
5.130.64.27;40;Novotelecom Ltd
5.134.216.154;54;Wiland Ltd
5.135.86.178;32;OVH SAS
5.135.156.227;46;OVH SAS
5.141.9.64;49;Rostelecom
5.141.9.150;35;Rostelecom
5.141.9.197;39;Rostelecom
5.141.83.201;30;Rostelecom
5.141.83.210;47;Rostelecom
5.141.84.102;45;Rostelecom
5.141.85.10;39;Rostelecom
5.141.117.4;39;Rostelecom
5.142.251.63;27;Rostelecom
5.142.251.141;35;Rostelecom
5.142.252.37;27;Rostelecom
5.143.237.110;41;Rostelecom
5.143.239.186;24;Rostelecom
5.148.85.100;54;Exponential-E Ltd.
5.149.129.24;27;Integrated Telecom Co. Ltd
5.149.129.25;30;Integrated Telecom Co. Ltd
5.149.129.26;29;Integrated Telecom Co. Ltd
5.158.118.110;29;Pride Limited company
5.158.123.92;35;Pride Limited company
5.159.96.249;46;Krasnoyarsk network Ltd.
5.159.114.199;47;Yarnet Ltd
5.160.76.194;36;Respina Networks & Beyond PJSC
5.160.101.50;28;Respina Networks & Beyond PJSC
5.160.170.216;39;Respina Networks & Beyond PJSC
5.160.209.109;18;Respina Networks & Beyond PJSC
5.160.215.30;55;Respina Networks & Beyond PJSC
5.172.19.147;58;INSYS LLC
5.172.24.203;57;INSYS LLC
5.180.19.159;46;Yug-Telecom-K Ltd.
5.180.181.217;59;Kamatera Inc
5.181.80.126;44;Tamatiya EOOD
5.183.29.10;31;SPb GUP ATS Smolnogo
5.183.29.62;35;SPb GUP ATS Smolnogo
5.183.29.68;33;SPb GUP ATS Smolnogo
5.183.29.78;26;SPb GUP ATS Smolnogo
5.183.29.115;17;SPb GUP ATS Smolnogo
5.183.29.160;15;SPb GUP ATS Smolnogo
5.183.29.197;20;SPb GUP ATS Smolnogo
5.183.29.249;16;SPb GUP ATS Smolnogo
5.187.12.50;42;LLC Skytel
5.188.65.222;25;NLS Kazakhstan LLC
5.188.146.77;51;BCLan LLC
5.188.167.239;24;LTD Magistral_Telecom
5.188.210.227;33;Petersburg Internet Network ltd.
5.189.183.11;25;Contabo GmbH
5.190.69.66;25;Iran Telecommunication Company PJS
5.195.215.212;37;Emirates Telecommunications Corporation
5.200.70.17;51;Pars Fonoun Ofogh Information Technology and Communications Company LTD
5.202.66.17;32;Pishgaman Toseeh Ertebatat Company (Private Joint Stock)
5.251.69.99;18;JSC Kazakhtelecom
5.251.98.44;15;JSC Kazakhtelecom
5.251.155.27;26;JSC Kazakhtelecom
8.26.240.98;27;HOTWIRE-COMMUNICATIONS
8.131.244.22;53;Hangzhou Alibaba Advertising Co.,Ltd.
8.242.190.38;55;LEVEL3
12.0.66.254;33;ATT-INTERNET4
12.2.132.202;56;ATT-INTERNET4
12.86.250.250;59;ATT-INTERNET4
12.110.80.154;31;ATT-INTERNET4
12.127.96.162;47;ATT-INTERNET4
12.189.229.92;16;ATT-INTERNET4
12.190.216.232;44;ATT-INTERNET4
12.208.165.141;28;ATT-INTERNET4
12.217.142.220;54;ATT-INTERNET4
12.218.172.66;52;ATT-INTERNET4
12.218.172.74;45;ATT-INTERNET4
12.231.69.10;47;EMANUEL-MEDICAL-CENTER
12.244.168.122;37;ATT-INTERNET4
12.250.206.174;34;ATT-INTERNET4
14.0.19.201;40;Hanoi Telecom Joint Stock Company - HCMC Branch
14.0.21.49;46;Hanoi Telecom Joint Stock Company - HCMC Branch
14.17.80.189;49;CHINANET Guangdong province network
14.18.41.26;27;CHINANET Guangdong province network
14.18.188.48;36;China Telecom Group
14.18.189.42;31;China Telecom Group
14.21.8.229;24;CHINATELECOM Guangdong province Dongguan 5G network
14.41.43.78;15;Korea Telecom
14.43.212.5;16;Korea Telecom
14.97.1.54;46;Tata Teleservices ISP AS
14.97.4.74;50;Tata Teleservices ISP AS
14.97.11.58;59;Tata Teleservices ISP AS
14.97.25.158;50;Tata Teleservices ISP AS
14.97.28.202;22;Tata Teleservices ISP AS
14.97.41.58;18;Tata Teleservices ISP AS
14.97.58.62;39;Tata Teleservices ISP AS
14.97.58.142;49;Tata Teleservices ISP AS
14.97.58.166;29;Tata Teleservices ISP AS
14.97.83.130;46;Tata Teleservices ISP AS
14.97.105.70;39;Tata Teleservices ISP AS
14.97.131.242;48;Tata Teleservices ISP AS
14.97.145.138;18;Tata Teleservices ISP AS
14.97.164.121;20;Tata Teleservices ISP AS
14.97.180.130;51;Tata Teleservices ISP AS
14.97.200.90;34;
14.97.212.22;23;
14.97.236.34;44;
14.97.240.82;49;
14.97.240.163;45;
14.98.4.242;57;Tata Teleservices ISP AS
14.98.34.190;28;Tata Teleservices ISP AS
14.98.37.10;30;Tata Teleservices ISP AS
14.98.141.194;36;Tata Teleservices ISP AS
14.98.181.171;22;Tata Teleservices ISP AS
14.98.181.203;50;Tata Teleservices ISP AS
14.98.187.46;50;Tata Teleservices ISP AS
14.98.213.98;30;Tata Teleservices ISP AS
14.98.215.26;23;Tata Teleservices ISP AS
14.98.233.17;32;Tata Teleservices ISP AS
14.99.31.98;27;Tata Teleservices ISP AS
14.99.41.254;40;Tata Teleservices ISP AS
14.99.44.153;45;Tata Teleservices ISP AS
14.99.45.5;18;Tata Teleservices ISP AS
14.99.74.162;54;Tata Teleservices ISP AS
14.99.90.52;21;Tata Teleservices ISP AS
14.99.136.186;15;Tata Teleservices ISP AS
14.99.137.186;57;Tata Teleservices ISP AS
14.99.171.210;41;Tata Teleservices ISP AS
14.99.213.154;50;Tata Teleservices ISP AS
14.99.235.188;46;Tata Teleservices ISP AS
14.99.246.222;50;Tata Teleservices ISP AS
14.99.251.242;30;Tata Teleservices ISP AS
14.99.254.34;19;Tata Teleservices ISP AS
14.102.10.130;51;AS Number for Interdomain Routing
14.102.13.146;19;AS Number for Interdomain Routing
14.102.50.81;54;AS Number for Interdomain Routing
14.102.118.17;16;AS Number for Interdomain Routing
14.102.154.178;54;Skyline Semesta, PT
14.103.34.192;15;
14.103.36.11;27;
14.103.41.33;33;
14.103.41.223;39;
14.136.97.6;35;HK Broadband Network Ltd.
14.139.62.114;15;NKN Core Network
14.139.62.115;56;NKN Core Network
14.139.151.119;24;NKN Core Network
14.139.229.252;17;NKN Core Network
14.140.11.242;59;TATA Communications formerly VSNL is Leading ISP
14.141.73.182;32;TATA Communications formerly VSNL is Leading ISP
14.141.151.226;16;TATA Communications formerly VSNL is Leading ISP
14.141.199.166;21;TATA Communications formerly VSNL is Leading ISP
14.142.218.250;50;TATA Communications formerly VSNL is Leading ISP
14.143.35.158;42;TATA Communications formerly VSNL is Leading ISP
14.143.57.62;25;TATA Communications formerly VSNL is Leading ISP
14.143.130.90;19;TATA Communications formerly VSNL is Leading ISP
14.143.147.182;33;TATA Communications formerly VSNL is Leading ISP
14.143.187.214;51;TATA Communications formerly VSNL is Leading ISP
14.143.245.190;28;TATA Communications formerly VSNL is Leading ISP
14.160.0.242;47;VNPT Corp
14.160.5.190;19;VNPT Corp
14.160.24.71;15;VNPT Corp
14.160.26.146;21;VNPT Corp
14.160.46.14;24;VNPT Corp
14.160.211.65;47;VNPT Corp
14.161.5.80;31;VNPT Corp
14.161.12.104;21;VNPT Corp
14.161.16.99;43;VNPT Corp
14.161.19.224;16;VNPT Corp
14.161.22.212;49;VNPT Corp
14.161.27.2;36;VNPT Corp
14.161.34.154;57;VNPT Corp
14.161.46.217;26;VNPT Corp
14.161.47.35;41;VNPT Corp
14.161.47.103;18;VNPT Corp
14.161.47.165;32;VNPT Corp
14.161.49.16;35;VNPT Corp
14.161.93.166;22;VNPT Corp
14.161.168.205;32;VNPT Corp
14.162.144.19;35;VNPT Corp
14.162.147.46;43;VNPT Corp
14.162.200.94;17;VNPT Corp
14.162.207.6;19;VNPT Corp
14.163.206.118;19;VNPT Corp
14.164.218.222;17;VNPT Corp
14.165.108.202;41;VNPT Corp
14.165.141.245;16;VNPT Corp
14.166.51.208;16;VNPT Corp
14.166.106.76;16;VNPT Corp
14.166.130.157;24;VNPT Corp
14.167.52.110;17;VNPT Corp
14.167.76.173;40;VNPT Corp
14.167.100.1;21;VNPT Corp
14.167.155.74;32;VNPT Corp
14.167.164.197;44;VNPT Corp
14.169.37.63;15;VNPT Corp
14.171.64.246;20;VNPT Corp
14.172.93.137;26;VNPT Corp
14.174.83.38;37;VNPT Corp
14.174.95.100;15;VNPT Corp
14.174.163.6;17;VNPT Corp
14.174.212.25;15;VNPT Corp
14.175.23.23;51;VNPT Corp
14.175.211.255;27;VNPT Corp
14.176.45.25;51;VNPT Corp
14.176.232.140;42;VNPT Corp
14.176.232.214;25;VNPT Corp
14.177.234.204;18;VNPT Corp
14.177.236.154;55;VNPT Corp
14.177.247.178;37;VNPT Corp
14.177.250.238;25;VNPT Corp
14.178.47.182;17;VNPT Corp
14.178.128.88;38;VNPT Corp
14.179.32.177;25;VNPT Corp
14.179.181.38;18;VNPT Corp
14.181.46.14;23;VNPT Corp
14.181.54.69;34;VNPT Corp
14.183.1.125;29;VNPT Corp
14.183.64.182;23;VNPT Corp
14.184.111.63;51;VNPT Corp
14.187.102.130;17;VNPT Corp
14.188.123.121;24;VNPT Corp
14.189.13.17;19;VNPT Corp
14.189.81.21;22;VNPT Corp
14.190.184.18;38;VNPT Corp
14.191.33.147;42;VNPT Corp
14.191.34.13;17;VNPT Corp
14.191.39.11;27;VNPT Corp
14.191.65.31;28;VNPT Corp
14.191.113.51;15;VNPT Corp
14.191.116.239;15;VNPT Corp
14.191.137.38;16;VNPT Corp
14.191.138.164;24;VNPT Corp
14.191.148.78;28;VNPT Corp
14.191.150.190;17;VNPT Corp
14.191.160.15;22;VNPT Corp
14.191.164.42;21;VNPT Corp
14.191.165.251;29;VNPT Corp
14.191.183.232;17;VNPT Corp
14.192.0.146;33;CtrlS Datacenters Ltd.
14.194.22.110;54;
14.194.64.26;51;TTSL-ISP DIVISION
14.194.88.106;39;TTSL-ISP DIVISION
14.194.125.2;18;
14.194.128.130;39;TTSL-ISP DIVISION
14.194.154.162;48;TTSL-ISP DIVISION
14.194.159.82;16;TTSL-ISP DIVISION
14.194.242.130;52;TTSL-ISP DIVISION
14.194.245.130;46;TTSL-ISP DIVISION
14.195.0.174;35;TTSL-ISP DIVISION
14.195.10.86;34;TTSL-ISP DIVISION
14.195.45.70;15;TTSL-ISP DIVISION
14.195.45.122;15;TTSL-ISP DIVISION
14.200.16.118;56;TPG Telecom Limited
14.224.81.207;27;VNPT Corp
14.224.128.4;32;VNPT Corp
14.224.146.24;48;VNPT Corp
14.224.147.23;49;VNPT Corp
14.224.156.124;15;VNPT Corp
14.224.159.16;45;VNPT Corp
14.224.161.43;24;VNPT Corp
14.224.164.37;26;VNPT Corp
14.224.165.109;29;VNPT Corp
14.224.166.244;42;VNPT Corp
14.224.170.69;48;VNPT Corp
14.225.209.209;19;VNPT Corp
14.226.43.160;37;VNPT Corp
14.226.82.205;23;VNPT Corp
14.226.85.235;56;VNPT Corp
14.226.148.144;26;VNPT Corp
14.230.57.214;22;VNPT Corp
14.231.12.142;32;VNPT Corp
14.231.115.161;18;VNPT Corp
14.231.198.105;24;VNPT Corp
14.231.232.38;15;VNPT Corp
14.231.243.196;31;VNPT Corp
14.232.94.36;18;VNPT Corp
14.232.111.201;55;VNPT Corp
14.232.124.158;18;VNPT Corp
14.232.158.5;18;VNPT Corp
14.232.160.61;25;VNPT Corp
14.232.208.71;17;VNPT Corp
14.232.210.140;52;VNPT Corp
14.232.210.194;28;VNPT Corp
14.232.236.0;17;VNPT Corp
14.232.237.95;52;VNPT Corp
14.232.245.63;26;VNPT Corp
14.232.245.139;59;VNPT Corp
14.235.146.213;25;VNPT Corp
14.235.177.122;23;VNPT Corp
14.235.249.159;37;VNPT Corp
14.237.122.100;24;VNPT Corp
14.237.203.124;21;VNPT Corp
14.238.2.178;35;VNPT Corp
14.238.14.50;19;VNPT Corp
14.238.17.118;15;VNPT Corp
14.238.86.170;55;VNPT Corp
14.240.228.251;37;VNPT Corp
14.241.1.119;46;VNPT Corp
14.241.33.185;48;VNPT Corp
14.241.33.188;43;VNPT Corp
14.241.36.40;44;VNPT Corp
14.241.36.102;58;VNPT Corp
14.241.37.5;32;VNPT Corp
14.241.43.230;57;VNPT Corp
14.241.46.29;34;VNPT Corp
14.241.46.61;48;VNPT Corp
14.241.48.27;47;VNPT Corp
14.241.48.182;55;VNPT Corp
14.241.57.37;42;VNPT Corp
14.241.62.100;48;VNPT Corp
14.241.62.107;26;VNPT Corp
14.241.71.151;50;VNPT Corp
14.241.72.23;53;VNPT Corp
14.241.73.137;27;VNPT Corp
14.241.73.138;17;VNPT Corp
14.241.85.92;24;VNPT Corp
14.241.85.93;44;VNPT Corp
14.241.92.106;57;VNPT Corp
14.241.94.14;53;VNPT Corp
14.241.101.9;44;VNPT Corp
14.241.104.53;49;VNPT Corp
14.241.110.125;53;VNPT Corp
14.241.111.58;48;VNPT Corp
14.241.111.231;29;VNPT Corp
14.241.120.171;26;VNPT Corp
14.241.120.227;55;VNPT Corp
14.241.121.33;49;VNPT Corp
14.241.136.59;26;VNPT Corp
14.241.139.254;50;VNPT Corp
14.241.190.163;22;VNPT Corp
14.241.197.39;17;VNPT Corp
14.241.208.18;28;VNPT Corp
14.241.212.111;28;VNPT Corp
14.241.227.161;23;VNPT Corp
14.241.229.186;42;VNPT Corp
14.241.235.96;45;VNPT Corp
14.241.241.74;55;VNPT Corp
14.241.252.149;18;VNPT Corp
14.243.130.153;24;VNPT Corp
14.243.214.91;20;VNPT Corp
14.244.134.48;17;VNPT Corp
14.245.237.73;24;VNPT Corp
14.247.31.147;55;VNPT Corp
14.247.43.5;20;VNPT Corp
14.248.83.140;30;VNPT Corp
14.248.84.203;48;VNPT Corp
14.248.90.69;39;VNPT Corp
14.248.94.84;30;VNPT Corp
14.248.94.208;18;VNPT Corp
14.249.116.144;19;VNPT Corp
14.249.221.138;40;VNPT Corp
14.250.111.177;17;VNPT Corp
14.254.213.133;20;VNPT Corp
14.255.77.163;25;VNPT Corp
20.163.122.209;24;MICROSOFT-CORP-MSN-AS-BLOCK
23.90.165.42;24;ZEN-ECN
23.90.165.44;52;ZEN-ECN
23.90.165.142;39;ZEN-ECN
23.94.101.120;16;AS-COLOCROSSING
23.94.107.14;30;AS-COLOCROSSING
23.95.18.148;18;AS-COLOCROSSING
23.95.24.2;55;AS-COLOCROSSING
23.95.67.38;54;AS-COLOCROSSING
23.98.40.136;19;MICROSOFT-CORP-MSN-AS-BLOCK
23.224.196.154;28;CNSERVERS
23.226.128.22;41;ASN-QUADRANET-GLOBAL
24.38.40.20;33;OPTIMUM-WIFI2
24.39.75.165;46;TWC-11351-NORTHEAST
24.47.84.96;25;CABLE-NET-1
24.49.145.18;15;HARCOM1
24.50.241.101;49;LCPRL
24.77.44.82;38;SHAW
24.84.212.161;35;SHAW
24.117.156.194;33;CABLEONE
24.124.44.43;15;MIDCO-NET
24.133.253.168;42;Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.
24.135.201.30;36;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
24.171.172.115;18;TWC-11426-CAROLINAS
24.199.107.49;58;WINDSTREAM
24.212.110.146;53;BNQ-1
27.2.193.26;39;SaiGon Tourist cable Televition Company
27.3.64.123;18;SaiGon Tourist cable Televition Company
27.3.66.226;21;SaiGon Tourist cable Televition Company
27.3.131.22;18;SaiGon Tourist cable Televition Company
27.3.178.150;16;SaiGon Tourist cable Televition Company
27.8.44.19;32;CHINA UNICOM China169 Backbone
27.29.123.6;15;Chinanet
27.54.51.32;31;StarHub Ltd
27.54.117.180;35;PT. DEWATA TELEMATIKA
27.54.170.242;32;Ishans Network
27.54.174.52;45;Ishans Network
27.54.187.228;58;Ishans Network
27.66.117.194;41;Viettel Group
27.67.53.226;49;Viettel Group
27.68.119.46;31;Viettel Group
27.68.119.50;53;Viettel Group
27.68.119.174;27;Viettel Group
27.71.64.106;47;Viettel Group
27.72.29.63;23;Viettel Group
27.72.29.192;18;Viettel Group
27.72.31.28;45;Viettel Group
27.72.40.150;42;Viettel Group
27.72.56.111;38;Viettel Group
27.72.57.91;16;Viettel Group
27.72.57.220;46;Viettel Group
27.72.61.26;43;Viettel Group
27.72.73.139;33;Viettel Group
27.72.73.243;26;Viettel Group
27.72.75.159;57;Viettel Group
27.72.80.242;29;Viettel Group
27.72.88.175;21;Viettel Group
27.72.89.197;45;Viettel Group
27.72.92.178;31;Viettel Group
27.72.96.122;21;Viettel Group
27.72.98.103;57;Viettel Group
27.72.106.50;38;Viettel Group
27.72.107.121;57;Viettel Group
27.72.111.189;50;Viettel Group
27.72.113.37;27;Viettel Group
27.72.113.41;50;Viettel Group
27.72.113.231;47;Viettel Group
27.72.116.110;49;Viettel Group
27.72.120.168;33;Viettel Group
27.72.124.10;56;Viettel Group
27.72.124.250;45;Viettel Group
27.72.144.205;20;Viettel Group
27.72.153.131;22;Viettel Group
27.72.244.199;29;Viettel Group
27.72.248.228;20;Viettel Group
27.73.34.218;32;Viettel Group
27.73.37.162;57;Viettel Group
27.73.37.230;42;Viettel Group
27.74.242.251;50;Viettel Group
27.74.244.152;52;Viettel Group
27.74.245.224;54;Viettel Group
27.74.247.33;35;Viettel Group
27.79.182.111;27;Viettel Group
27.79.189.116;17;Viettel Group
27.79.221.221;31;Viettel Group
27.96.228.171;53;VEE TIME CORP.
27.107.113.226;40;Tata Teleservices Maharashtra Ltd
27.107.157.94;56;Tata Teleservices Maharashtra Ltd
27.107.157.142;56;Tata Teleservices Maharashtra Ltd
27.109.158.174;34;Companhia de Telecomunicacoes de Macau SARL
27.112.120.7;16;
27.113.255.206;38;116 MADHAV DARSHAN
27.116.17.9;51;VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA
27.116.17.10;36;VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA
27.116.21.139;57;VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA
27.121.13.217;53;TOKAI Communications Corporation
27.123.214.101;35;MobiCom Corporation
27.123.221.50;49;PT. Fiber Networks Indonesia
27.123.243.130;46;Ani Network Pvt Ltd
27.123.249.110;19;Dehradun Enet Solutions Private Ltd
27.124.41.35;25;BGPNET Global ASN
27.128.239.46;27;Chinanet
27.131.1.251;15;Solusindo Bintang Pratama, PT
27.254.29.130;18;CS LOXINFO PUBLIC COMPANY LIMITED
27.254.33.5;27;CS LOXINFO Public Company Limited.
27.254.70.187;43;CS LOXINFO Public Company Limited.
27.254.78.67;28;CS LOXINFO PUBLIC COMPANY LIMITED
27.255.1.244;30;Fiberlink Pvt.Ltd
31.11.50.26;17;Vodafone Qatar Q.S.C.
31.11.50.45;15;Vodafone Qatar Q.S.C.
31.28.115.80;34;INTERRA telecommunications group, Ltd.
31.28.125.203;19;INTERRA telecommunications group, Ltd.
31.40.24.12;40;Turon Media XK
31.40.45.98;23;Gorset LLC
31.40.137.215;38;Miranda-Media Ltd
31.41.90.205;25;New Information Systems PP
31.41.95.85;38;New Information Systems PP
31.42.54.227;36;Merlin-Telekom LLC
31.43.185.65;47;FOP Dmytro Nedilskyi
31.47.54.58;57;Afranet
31.47.192.146;17;GNC-Alfa CJSC
31.59.0.28;31;Pooya Parto Qeshm Cooperative Company
31.59.0.156;17;Pooya Parto Qeshm Cooperative Company
31.130.162.138;22;Nelson Services, s.r.o.
31.131.16.209;15;PE Skurykhin Mukola Volodumurovuch
31.131.18.153;15;PE Skurykhin Mukola Volodumurovuch
31.131.24.98;15;PE Skurykhin Mukola Volodumurovuch
31.133.205.10;43;OOO RTK
31.134.46.245;49;IRONNET Ltd.
31.134.122.98;42;FOP Demchuk Sergiy Olexandrovuch
31.135.43.52;28;Ray-Svyaz Ltd.
31.135.233.7;24;Trytech Ltd.
31.135.236.187;20;Trytech Ltd.
31.141.208.193;39;
31.141.215.70;23;
31.141.217.232;37;
31.141.219.96;31;
31.141.239.60;34;
31.141.247.112;57;
31.141.253.78;37;
31.145.14.131;59;Vodafone Net Iletisim Hizmetleri Anonim Sirketi
31.145.42.6;32;Vodafone Net Iletisim Hizmetleri Anonim Sirketi
31.145.56.210;38;Vodafone Net Iletisim Hizmetleri Anonim Sirketi
31.145.166.54;58;Vodafone Net Iletisim Hizmetleri Anonim Sirketi
31.146.179.190;46;JSC Silknet
31.146.219.174;38;JSC Silknet
31.148.137.211;46;Mikron-Media LLC
31.154.107.212;58;Partner Communications Ltd.
31.154.208.214;49;Partner Communications Ltd.
31.163.196.149;43;Rostelecom
31.163.196.248;58;Rostelecom
31.163.201.16;58;Rostelecom
31.163.201.55;56;Rostelecom
31.163.203.74;34;Rostelecom
31.163.204.85;58;Rostelecom
31.168.196.99;25;Bezeq International
31.169.25.38;53;JSC Kazakhtelecom
31.170.49.80;17;Farahoosh Dena PLC
31.170.52.38;26;Farahoosh Dena PLC
31.173.76.33;59;PJSC MegaFon
31.173.76.60;55;PJSC MegaFon
31.173.95.130;26;PJSC MegaFon
31.173.114.194;46;PJSC MegaFon
31.173.143.135;40;PJSC MegaFon
31.173.152.138;35;PJSC MegaFon
31.173.160.131;54;PJSC MegaFon
31.173.182.62;55;PJSC MegaFon
31.173.187.14;53;PJSC MegaFon
31.173.233.58;39;PJSC MegaFon
31.173.233.78;44;PJSC MegaFon
31.210.208.37;27;KVANT-TELEKOM Closed Joint Stock Company
31.210.215.141;47;KVANT-TELEKOM Closed Joint Stock Company
31.210.218.10;54;KVANT-TELEKOM Closed Joint Stock Company
